EditorYear	EdiPercent	Cohort
-1	0.0	4
1	0.3333333333333333	4
2	0.6	4
1	0.6666666666666666	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.6666666666666666	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
1	0.0	4
2	0.5	4
3	1.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	0.5	4
3	0.0	4
0	0.0	4
1	0.5	4
0	0.0	4
1	0.0	4
2	0.6666666666666666	4
3	0.0	4
4	0.0	4
5	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	0.6666666666666666	4
4	0.5	4
5	0.5	4
0	0.0	4
1	1.0	4
2	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	0.5	4
3	1.0	4
4	0.0	4
5	1.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
1	1.0	4
2	0.0	4
3	0.0	4
1	0.5	4
1	0.5	4
0	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	1.0	4
5	0.3333333333333333	4
1	1.0	4
1	0.0	4
2	0.0	4
3	1.0	4
0	0.0	4
1	1.0	4
2	1.0	4
3	0.3333333333333333	4
4	1.0	4
5	0.25	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.5	4
1	0.5	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
1	0.3333333333333333	4
2	1.0	4
1	1.0	4
1	1.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
1	0.5	4
1	0.6666666666666666	4
1	1.0	4
1	1.0	4
2	0.0	4
1	0.6	4
2	0.5	4
3	1.0	4
4	0.5	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	1.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.25	4
4	0.5	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-4	0.0	4
1	0.0	4
2	0.0	4
3	0.5	4
-4	0.0	4
-3	0.0	4
1	0.0	4
2	0.5	4
3	0.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	1.0	4
3	1.0	4
4	0.0	4
5	0.25	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.5	4
-4	0.0	4
-3	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.0	4
2	0.0	4
3	0.6428571428571429	4
4	0.2	4
5	0.5	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.5	4
4	1.0	4
5	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
0	0.0	4
1	0.6666666666666666	4
2	0.0	4
3	1.0	4
