	original	normalized
545	editorial board – esophageal surgery	editorial board – esophageal surgery
546	editorial board – general surgery	editorial board – general surgery
547	editorial board – hepato-biliary-pancreatic surgery	editorial board – hepato biliary pancreatic surgery
548	editorial board – head and neck surgery	editorial board – head and neck surgery
549	editorial board – neurosurgery	editorial board – neurosurgery
550	editorial board – orthopedic surgery	editorial board – orthopedic surgery
551	editorial board – pediatric surgery	editorial board – pediatric surgery
552	editorial board – plastic surgery	editorial board – plastic surgery
553	editorial board – thoracic surgery	editorial board – thoracic surgery
554	editorial board – transplantation	editorial board – transplantation
555	editorial board – upper gi	editorial board – upper gi
556	editorial board – urology	editorial board – urology
557	editorial board – surgical translational research	editorial board – surgical translational research
558	editorial office– managing editor	editorial office– managing editor
559	editorial office– assisting editor	editorial office– assisting editor
560	senior editor: special issues	senior editor: special issues
561	senior editor: ecra executive	senior editor: ecra executive
562	reviewing member of editorial board	reviewing member of editorial board
563	consultants of the editorial committee	consultants of the editorial committee
564	international members of the editorial committee	international member of the editorial committee
565	editorial committe members	editorial committe member
566	thematic volume editors	thematic volume editor
567	editor / redactora jefe	editor / redactora jefe
568	assistant editors / editores adjuntos	assistant editor / editores adjuntos
569	former associate editors	former associate editor
570	editores	editores
571	honorary members	honorary member
572	editor-in-chief / directora	editor in chief / directora
573	associated editors / editores asociados	associated editor / editores asociados
574	editor jefe / editor-in-chief	editor jefe / editor in chief
575	editor in chief	editor in chief
576	editorial associate	editorial associate
577	scientific board	scientific board
578	co-editors / directores asociados	co editor / directores asociados
579	associate editor/ editores asociados	associate editor/ editores asociados
580	editores asociados/associate editors	editores asociados/associate editor
581	consejo editorial	consejo editorial
582	editor jefe	editor jefe
583	emeritus editor-in-chief	emeritus editor in chief
584	consulting board for eaces	consulting board for eaces
585	editors-in-chief	editor in chief
586	editor-in-chief emeritus / founding editor	editor in chief emeritus / founding editor
587	reviews editor	reviews editor
588	letters editor	letters editor
589	associate board members	associate board member
590	vice executive editors	vice executive editor
591	international advisory editorial board	international advisory editorial board
592	executive vice-president	executive vice president
593	vice-presidents	vice presidents
594	secretary general	secretary general
595	public relations secretary	public relations secretary
596	founding co-editor-in-chief	founding co editor in chief
597	chairperson	chairperson
598	co-opted members	co opted member
599	member secretary	member secretary
600	deputy chairperson	deputy chairperson
601	technical editor	technical editor
602	international editorial advisory board	international editorial advisory board
603	national editorial advisory board	national editorial advisory board
604	armed forces medical services advisory board	armed forces medical services advisory board
605	specialist associate editor	specialist associate editor
606	semfyc coordinator	semfyc coordinator
607	deputy editors / jefe de redacción	deputy editor / jefe de redacción
608	contributing editors / editores colaboradores	contributing editor / editores colaboradores
609	editorial advisory board members	editorial advisory board member
610	editor emeritus 2005-2016	editor emeritus 2005 2016
611	editor board members	editor board member
612	founding and honorary editor	founding and honorary editor
613	co-ordinating editors	co ordinating editor
614	8. special content and reviews	8. special content and reviews
615	editorial editor	editorial editor
616	guest editor	guest editor
617	deputy editor in chief	deputy editor in chief
618	special issues editors	special issues editor
619	joint journal oversight committee	joint journal oversight committee
620	director jefe	director jefe
621	directores adjuntos	directores adjuntos
622	honorary advisory board	honorary advisory board
623	emeritus consulting editors	emeritus consulting editor
624	journal office coordinator	journal office coordinator
625	editorial board consultants	editorial board consultants
626	desk editor	desk editor
627	european editor	european editor
628	north american editor	north american editor
629	asian editor	asian editor
630	editors - in - chief	editor in chief
631	past editors-in-chief	past editor in chief
632	inside this issue section editor	inside this issue section editor
633	reviews and theoretical advances	reviews and theoretical advances
634	assistant  managing editor	assistant managing editor
635	director of scientific outreach	director of scientific outreach
636	senior editorial assistant	senior editorial assistant
637	asip president	asip president
638	asip publications committee	asip publications committee
639	editors-in-charge	editor in charge
640	administrative assistant	administrative assistant
641	2017 editor	2017 editor
642	chair of the international editorial board	chair of the international editorial board
643	emeritus editor-in-chief:	emeritus editor in chief:
644	board of associate editors	board of associate editor
645	advisory board of emeritus editors	advisory board of emeritus editor
646	co-ordinating  editors	co ordinating editor
647	field editors	field editor
648	associate managing editor	associate managing editor
649	editorial and production assistant	editorial and production assistant
650	cme editor	cme editor
651	reflections editor	reflections editor
652	reviewing editor	reviewing editor
653	advisory editor (past editor-in-chief)	advisory editor (past editor in chief)
654	meetings editor	meetings editor
655	jid connector editor	jid connector editor
656	milestones editor	milestones editor
657	jid-visual dx quiz editor	jid visual dx quiz editor
658	cells to surgery editor	cells to surgery editor
659	podcast editor	podcast editor
660	section editors: disasters & resilience	section editor: disasters & resilience
661	consulting board	consulting board
662	editor-in-chief and editor for europe and africa (applied science)	editor in chief and editor for europe and africa (applied science)
663	editor for asia and australasia (applied science)	editor for asia and australasia (applied science)
664	editor (manufacturing) and american editor (applied science and manufacturing)	editor (manufacturing) and american editor (applied science and manufacturing)
665	chinese editor (applied science)	chinese editor (applied science)
666	editor for nanocomposites	editor for nanocomposites
667	editor for biocomposites	editor for biocomposites
668	regular members	regular member
669	tools and techniques editor	tools and techniques editor
670	video editor	video editor
671	cochrane nursing care review	cochrane nursing care review
672	editor-at-large	editor at large
673	principal editor	principal editor
674	the board of governors of scripta materialia	the board of governors of scripta materialia
675	international advisory editors board	international advisory editor board
676	founder and honorary editor	founder and honorary editor
677	social media committee	social media committee
678	masterclass editor	masterclass editor
679	editors-at-large	editor at large
680	honorary managing editor	honorary managing editor
681	editorial advisory board members	editorial advisory board member
682	founding editor and emeritus editor-in-chief	founding editor and emeritus editor in chief
